Name,Stage,Lead Length,Place Notation,Type,Interior Notation,Hunt Number
Vuay Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1456-1456.90,10",T,-30-14-50-16-1270-38.14-14.30.1456-1456.90.1456-1456.30.14-14.38-1270-16-50-14-30-10,1
Thepuv Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1456-1478.90,12",T,-30-14-50-16-1270-38.14-14.30.1456-1478.90.1478-1456.30.14-14.38-1270-16-50-14-30-12,1
Mutare Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1456.78.14.90,12",T,-30-14-50-16-1270-38.14-14.30.1456.78.14.90.14.78.1456.30.14-14.38-1270-16-50-14-30-12,1
Xanthomonas Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1456.78.1456.90,12",T,-30-14-50-16-1270-38.14-14.30.1456.78.1456.90.1456.78.1456.30.14-14.38-1270-16-50-14-30-12,1
Judgemeadow Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1478-14.90,12",T,-30-14-50-16-1270-38.14-14.30.1478-14.90.14-1478.30.14-14.38-1270-16-50-14-30-12,1
Jacobite Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1478-1456.90,12",T,-30-14-50-16-1270-38.14-14.30.1478-1456.90.1456-1478.30.14-14.38-1270-16-50-14-30-12,1
Jouleonne Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1478-1478.90,12",T,-30-14-50-16-1270-38.14-14.30.1478-1478.90.1478-1478.30.14-14.38-1270-16-50-14-30-12,1
Yewtree Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1478.56.14.90,12",T,-30-14-50-16-1270-38.14-14.30.1478.56.14.90.14.56.1478.30.14-14.38-1270-16-50-14-30-12,1
Owston Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.30.1478.56.1478.90,12",T,-30-14-50-16-1270-38.14-14.30.1478.56.1478.90.1478.56.1478.30.14-14.38-1270-16-50-14-30-12,1
Ayres End Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.50.16-16.50,12",T,-30-14-50-16-1270-38.14-14.50.16-16.50.16-16.50.14-14.38-1270-16-50-14-30-12,1
Asfordby Surprise Royal,10,40,"-30-14-50-16-1270-38.14-14.50.34-36.90,12",T,-30-14-50-16-1270-38.14-14.50.34-36.90.36-34.50.14-14.38-1270-16-50-14-30-12,1
Charmouth Surprise Royal,10,40,"-30-14-50-16-1270-38.14-34.50.34-16.90,12",T,-30-14-50-16-1270-38.14-34.50.34-16.90.16-34.50.34-14.38-1270-16-50-14-30-12,1
Marion Surprise Royal,10,40,"-30-14-50-16-1270-38.14-34.50.34-1678.90,12",T,-30-14-50-16-1270-38.14-34.50.34-1678.90.1678-34.50.34-14.38-1270-16-50-14-30-12,1
Aloysius Surprise Royal,10,40,"-30-14-50-16-1270-38.14-34.50.34.78.16.90,12",T,-30-14-50-16-1270-38.14-34.50.34.78.16.90.16.78.34.50.34-14.38-1270-16-50-14-30-12,1
Charlotte Surprise Royal,10,40,"-30-14-50-16-1270-38.14-34.50.3478-16.90,12",T,-30-14-50-16-1270-38.14-34.50.3478-16.90.16-3478.50.34-14.38-1270-16-50-14-30-12,1
Popocatepetl Surprise Royal,10,40,"-30-14-50-16-1270-38.14-34.50.3478-1678.90,12",T,-30-14-50-16-1270-38.14-34.50.3478-1678.90.1678-3478.50.34-14.38-1270-16-50-14-30-12,1
Leith Hill Surprise Royal,10,40,"-30-14-50-16-14-30.14-12.30.12-12.30,12",T,-30-14-50-16-14-30.14-12.30.12-12.30.12-12.30.12-14.30-14-16-50-14-30-12,1
Ranmoor Surprise Royal,10,40,"-30-14-50-16-14-50-16-50-14-10,12",T,-30-14-50-16-14-50-16-50-14-10-14-50-16-50-14-16-50-14-30-12,1
Newbury Town Surprise Royal,10,40,"-30-14-50-16-1470-1258-1236-1270-18-90,12",T,-30-14-50-16-1470-1258-1236-1270-18-90-18-1270-1236-1258-1470-16-50-14-30-12,1
Newbury Roadshow Surprise Royal,10,40,"-30-14-50-16-1470-1258-1236-1270-18.34.90,12",T,-30-14-50-16-1470-1258-1236-1270-18.34.90.34.18-1270-1236-1258-1470-16-50-14-30-12,1
Old Speckled Hen Surprise Royal,10,40,"-30-14-50-16-1470-1258-1236-1270-18.56.90,12",T,-30-14-50-16-1470-1258-1236-1270-18.56.90.56.18-1270-1236-1258-1470-16-50-14-30-12,1
Ewerby Surprise Royal,10,40,"-30-14-50-16-1470-1258-36-70-18-90,12",T,-30-14-50-16-1470-1258-36-70-18-90-18-70-36-1258-1470-16-50-14-30-12,1
Morland's Original Surprise Royal,10,40,"-30-14-50-16-1470-1258-36-70-18.34.90,12",T,-30-14-50-16-1470-1258-36-70-18.34.90.34.18-70-36-1258-1470-16-50-14-30-12,1
Wadworth 6X Surprise Royal,10,40,"-30-14-50-16-1470-1258-36-70-18.56.90,12",T,-30-14-50-16-1470-1258-36-70-18.56.90.56.18-70-36-1258-1470-16-50-14-30-12,1
Wilsthorpe Surprise Royal,10,40,"-30-14-50-16-1470-38-16-50-56-90,12",T,-30-14-50-16-1470-38-16-50-56-90-56-50-16-38-1470-16-50-14-30-12,1
Idridgehay Surprise Royal,10,40,"-30-14-50-16-1470-38-16-50-78-90,12",T,-30-14-50-16-1470-38-16-50-78-90-78-50-16-38-1470-16-50-14-30-12,1
Chepstow Surprise Royal,10,40,"-30-14-50-16-1470-38-16-70.18.56.18.70,12",T,-30-14-50-16-1470-38-16-70.18.56.18.70.18.56.18.70-16-38-1470-16-50-14-30-12,1
Diseworth Surprise Royal,10,40,"-30-14-50-16-1470-38-34-3470-18-90,12",T,-30-14-50-16-1470-38-34-3470-18-90-18-3470-34-38-1470-16-50-14-30-12,1
Oakham Surprise Royal,10,40,"-30-14-50-16-1470-38-34-30-14-50,12",T,-30-14-50-16-1470-38-34-30-14-50-14-30-34-38-1470-16-50-14-30-12,1
Armitage Surprise Royal,10,40,"-30-14-50-16-1470-38-36-1450-38-30,12",T,-30-14-50-16-1470-38-36-1450-38-30-38-1450-36-38-1470-16-50-14-30-12,1
Much Birch Surprise Royal,10,40,"-30-14-50-16-1470-38-56-1230-56-70,12",T,-30-14-50-16-1470-38-56-1230-56-70-56-1230-56-38-1470-16-50-14-30-12,1
Edgeley Park Surprise Royal,10,40,"-30-14-50-16-1470-38.14-12.30.12-12.50,12",T,-30-14-50-16-1470-38.14-12.30.12-12.50.12-12.30.12-14.38-1470-16-50-14-30-12,1
Cullompton Surprise Royal,10,40,"-30-14-50-16-1470-38.14-12.30.14-14.50,12",T,-30-14-50-16-1470-38.14-12.30.14-14.50.14-14.30.12-14.38-1470-16-50-14-30-12,1
Owlerton Surprise Royal,10,40,"-30-14-50-16-1470-58-12-3670-18-90,12",T,-30-14-50-16-1470-58-12-3670-18-90-18-3670-12-58-1470-16-50-14-30-12,1
New Gainsborough Surprise Royal,10,40,"-30-14-50-16-1470-58-1236-70-18-90,12",T,-30-14-50-16-1470-58-1236-70-18-90-18-70-1236-58-1470-16-50-14-30-12,1
Varsity Surprise Royal,10,40,"-30-14-50-16-1470-58-1236-70-18.34.90,12",T,-30-14-50-16-1470-58-1236-70-18.34.90.34.18-70-1236-58-1470-16-50-14-30-12,1
St George and the Dragon Surprise Royal,10,40,"-30-14-50-16-1470-58-1236-70-18.56.90,12",T,-30-14-50-16-1470-58-1236-70-18.56.90.56.18-70-1236-58-1470-16-50-14-30-12,1
Lindsey Surprise Royal,10,40,"-30-14-50-16-1470-58-36-1270-18-90,12",T,-30-14-50-16-1470-58-36-1270-18-90-18-1270-36-58-1470-16-50-14-30-12,1
Greene King IPA Surprise Royal,10,40,"-30-14-50-16-1470-58-36-1270-18.34.90,12",T,-30-14-50-16-1470-58-36-1270-18.34.90.34.18-1270-36-58-1470-16-50-14-30-12,1
Whitby Surprise Royal,10,40,"-30-14-50-16-1470-58-56-70-14-30,12",T,-30-14-50-16-1470-58-56-70-14-30-14-70-56-58-1470-16-50-14-30-12,1
Malvern Link Surprise Royal,10,40,"-30-14-50-16-1470-58.12.36-70-18-90,12",T,-30-14-50-16-1470-58.12.36-70-18-90-18-70-36.12.58-1470-16-50-14-30-12,1
Bromsgrove Surprise Royal,10,40,"-30-14-50-16-1470-58.16-14.70.58-16.90,12",T,-30-14-50-16-1470-58.16-14.70.58-16.90.16-58.70.14-16.58-1470-16-50-14-30-12,1
Grimethorpe Surprise Royal,10,40,"-30-14-50-16-3478-38-34-1670-58-70,12",T,-30-14-50-16-3478-38-34-1670-58-70-58-1670-34-38-3478-16-50-14-30-12,1
Winhill Surprise Royal,10,40,"-30-14-50-16-3470-1458-34-1470-56-10,10",T,-30-14-50-16-3470-1458-34-1470-56-10-56-1470-34-1458-3470-16-50-14-30-10,1
Smithsonian Surprise Royal,10,40,"-30-14-50-16-3470-18-1456-50-16-70,12",T,-30-14-50-16-3470-18-1456-50-16-70-16-50-1456-18-3470-16-50-14-30-12,1
Abbey Stadium Surprise Royal,10,40,"-30-14-50-16-3470-38-1256-3670-18-10,12",T,-30-14-50-16-3470-38-1256-3670-18-10-18-3670-1256-38-3470-16-50-14-30-12,1
Hundred House Surprise Royal,10,40,"-30-14-50-16-3470-38-16-30-14-90,12",T,-30-14-50-16-3470-38-16-30-14-90-14-30-16-38-3470-16-50-14-30-12,1
Lyme Regis Surprise Royal,10,40,"-30-14-50-16-3470-38-36-50-16-90,12",T,-30-14-50-16-3470-38-36-50-16-90-16-50-36-38-3470-16-50-14-30-12,1
XL Surprise Royal,10,40,"-30-14-50-16-3470-58.36-14.70.58-16.90,12",T,-30-14-50-16-3470-58.36-14.70.58-16.90.16-58.70.14-36.58-3470-16-50-14-30-12,1
Damgate Surprise Royal,10,40,"-30-14-50-16-78-18-14-50-36-50,12",T,-30-14-50-16-78-18-14-50-36-50-36-50-14-18-78-16-50-14-30-12,1
Utterby Surprise Royal,10,40,"-30-14-50-16-78-18-14-70.14-58.90,12",T,-30-14-50-16-78-18-14-70.14-58.90.58-14.70-14-18-78-16-50-14-30-12,1
Oasby Surprise Royal,10,40,"-30-14-50-16-78-18-14-70.14.58-90,12",T,-30-14-50-16-78-18-14-70.14.58-90-58.14.70-14-18-78-16-50-14-30-12,1
Xylonite Surprise Royal,10,40,"-30-14-50-16-78-18-14-70.58-14.90,12",T,-30-14-50-16-78-18-14-70.58-14.90.14-58.70-14-18-78-16-50-14-30-12,1
Yeo Surprise Royal,10,40,"-30-14-50-16-78-18-1456-50-14-90,12",T,-30-14-50-16-78-18-1456-50-14-90-14-50-1456-18-78-16-50-14-30-12,1
Nant-ddu Surprise Royal,10,40,"-30-14-50-16-78-18-56-1450-1238-70,12",T,-30-14-50-16-78-18-56-1450-1238-70-1238-1450-56-18-78-16-50-14-30-12,1
Wadcroft Surprise Royal,10,40,"-30-14-50-16-78-18-56-1450-38-70,12",T,-30-14-50-16-78-18-56-1450-38-70-38-1450-56-18-78-16-50-14-30-12,1
Stoneycroft Surprise Royal,10,40,"-30-14-50-16-78-18-56-5670-18-30,12",T,-30-14-50-16-78-18-56-5670-18-30-18-5670-56-18-78-16-50-14-30-12,1
Yffenni Surprise Royal,10,40,"-30-14-50-16-78-18-56-50.14-14.90,12",T,-30-14-50-16-78-18-56-50.14-14.90.14-14.50-56-18-78-16-50-14-30-12,1
Redmile Surprise Royal,10,40,"-30-14-50-16-78-18.56-14.50-14-90,12",T,-30-14-50-16-78-18.56-14.50-14-90-14-50.14-56.18-78-16-50-14-30-12,1
Xulon Surprise Royal,10,40,"-30-14-50-16-78.12.38-1456-50-18-70,12",T,-30-14-50-16-78.12.38-1456-50-18-70-18-50-1456-38.12.78-16-50-14-30-12,1
Berlin Surprise Royal,10,40,"-30-14-50-16-70-1238-12-30-16-90,12",T,-30-14-50-16-70-1238-12-30-16-90-16-30-12-1238-70-16-50-14-30-12,1
Qwerty Surprise Royal,10,40,"-30-14-50-16-70-1238-12-30-1678-90,12",T,-30-14-50-16-70-1238-12-30-1678-90-1678-30-12-1238-70-16-50-14-30-12,1
Guyhirn Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50-16-10,12",T,-30-14-50-16-70-1238-14-50-16-10-16-50-14-1238-70-16-50-14-30-12,1
Neville Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50-16-90,12",T,-30-14-50-16-70-1238-14-50-16-90-16-50-14-1238-70-16-50-14-30-12,1
Wetherspoon Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50-16.34.90,12",T,-30-14-50-16-70-1238-14-50-16.34.90.34.16-50-14-1238-70-16-50-14-30-12,1
Ecumenical Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50-16.78.90,12",T,-30-14-50-16-70-1238-14-50-16.78.90.78.16-50-14-1238-70-16-50-14-30-12,1
Centennial Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50-1678-90,12",T,-30-14-50-16-70-1238-14-50-1678-90-1678-50-14-1238-70-16-50-14-30-12,1
Pride of Romsey Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50-1678.34.90,12",T,-30-14-50-16-70-1238-14-50-1678.34.90.34.1678-50-14-1238-70-16-50-14-30-12,1
Ferrybridge Surprise Royal,10,40,"-30-14-50-16-70-1238-14-50.78.16.78.90,12",T,-30-14-50-16-70-1238-14-50.78.16.78.90.78.16.78.50-14-1238-70-16-50-14-30-12,1
Genesis Surprise Royal,10,40,"-30-14-50-16-70-1458-1236-70-18-90,12",T,-30-14-50-16-70-1458-1236-70-18-90-18-70-1236-1458-70-16-50-14-30-12,1
Kilpeck Surprise Royal,10,40,"-30-14-50-16-70-1458-36-1270-18-90,12",T,-30-14-50-16-70-1458-36-1270-18-90-18-1270-36-1458-70-16-50-14-30-12,1
Underwood Surprise Royal,10,40,"-30-14-50-16-70-1458-36-1470-58-70,12",T,-30-14-50-16-70-1458-36-1470-58-70-58-1470-36-1458-70-16-50-14-30-12,1
Cytringan Surprise Royal,10,40,"-30-14-50-16-70-1458-56-3670-18-90,12",T,-30-14-50-16-70-1458-56-3670-18-90-18-3670-56-1458-70-16-50-14-30-12,1
Verulamium Surprise Royal,10,40,"-30-14-50-16-70-18-12-3670-1458-90,12",T,-30-14-50-16-70-18-12-3670-1458-90-1458-3670-12-18-70-16-50-14-30-12,1
Albanian Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-14-90,12",T,-30-14-50-16-70-18-12-30-14-90-14-30-12-18-70-16-50-14-30-12,1
Nainabla Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-14-90,10",T,-30-14-50-16-70-18-12-30-14-90-14-30-12-18-70-16-50-14-30-10,1
Colwall Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-14.78.90,12",T,-30-14-50-16-70-18-12-30-14.78.90.78.14-30-12-18-70-16-50-14-30-12,1
Twofiveo Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-1456-90,12",T,-30-14-50-16-70-18-12-30-1456-90-1456-30-12-18-70-16-50-14-30-12,1
Skinner's Bottom Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-1456.78.90,12",T,-30-14-50-16-70-18-12-30-1456.78.90.78.1456-30-12-18-70-16-50-14-30-12,1
Old Dragon Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-145678-90,12",T,-30-14-50-16-70-18-12-30-145678-90-145678-30-12-18-70-16-50-14-30-12,1
Maol Chean-dearg Surprise Royal,10,40,"-30-14-50-16-70-18-12-30-1478-90,12",T,-30-14-50-16-70-18-12-30-1478-90-1478-30-12-18-70-16-50-14-30-12,1
Whitwick Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.14-12.90,12",T,-30-14-50-16-70-18-12-30.14-12.90.12-14.30-12-18-70-16-50-14-30-12,1
Lyme Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.14-34.90,12",T,-30-14-50-16-70-18-12-30.14-34.90.34-14.30-12-18-70-16-50-14-30-12,1
Dingley Hall Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.14.56-90,12",T,-30-14-50-16-70-18-12-30.14.56-90-56.14.30-12-18-70-16-50-14-30-12,1
Noseley Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.16-36.90,12",T,-30-14-50-16-70-18-12-30.16-36.90.36-16.30-12-18-70-16-50-14-30-12,1
Wolseley Hall Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.56-14.90,12",T,-30-14-50-16-70-18-12-30.56-14.90.14-56.30-12-18-70-16-50-14-30-12,1
Cairn Toul Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.78.14-90,12",T,-30-14-50-16-70-18-12-30.78.14-90-14.78.30-12-18-70-16-50-14-30-12,1
Imperial Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.78.14.78.90,12",T,-30-14-50-16-70-18-12-30.78.14.78.90.78.14.78.30-12-18-70-16-50-14-30-12,1
Old King Roger Surprise Royal,10,40,"-30-14-50-16-70-18-12-30.78.1456-90,12",T,-30-14-50-16-70-18-12-30.78.1456-90-1456.78.30-12-18-70-16-50-14-30-12,1
Rosedale Surprise Royal,10,40,"-30-14-50-16-70-18-12-5670-14-30,12",T,-30-14-50-16-70-18-12-5670-14-30-14-5670-12-18-70-16-50-14-30-12,1
Pickwell Surprise Royal,10,40,"-30-14-50-16-70-18-12-50.34-16.90,12",T,-30-14-50-16-70-18-12-50.34-16.90.16-34.50-12-18-70-16-50-14-30-12,1
Wellpick Surprise Royal,10,40,"-30-14-50-16-70-18-12-50.34-16.90,10",T,-30-14-50-16-70-18-12-50.34-16.90.16-34.50-12-18-70-16-50-14-30-10,1
Elmisti Surprise Royal,10,40,"-30-14-50-16-70-18-12-50.34-1678.90,12",T,-30-14-50-16-70-18-12-50.34-1678.90.1678-34.50-12-18-70-16-50-14-30-12,1
Goadby Surprise Royal,10,40,"-30-14-50-16-70-18-12-50.34.78.16.90,12",T,-30-14-50-16-70-18-12-50.34.78.16.90.16.78.34.50-12-18-70-16-50-14-30-12,1
Vigintiduo Surprise Royal,10,40,"-30-14-50-16-70-18-12-50.3478-16.90,12",T,-30-14-50-16-70-18-12-50.3478-16.90.16-3478.50-12-18-70-16-50-14-30-12,1
Matusadona Surprise Royal,10,40,"-30-14-50-16-70-18-12-50.3478-1678.90,12",T,-30-14-50-16-70-18-12-50.3478-1678.90.1678-3478.50-12-18-70-16-50-14-30-12,1
MM Surprise Royal,10,40,"-30-14-50-16-70-18-14-1230.56-36.90,12",T,-30-14-50-16-70-18-14-1230.56-36.90.36-56.1230-14-18-70-16-50-14-30-12,1
Milia Surprise Royal,10,40,"-30-14-50-16-70-18-14-1230.56.78.36.90,12",T,-30-14-50-16-70-18-14-1230.56.78.36.90.36.78.56.1230-14-18-70-16-50-14-30-12,1
Cairngorm Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-1236-90,12",T,-30-14-50-16-70-18-14-1250-1236-90-1236-1250-14-18-70-16-50-14-30-12,1
Gormcairn Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-1236-90,10",T,-30-14-50-16-70-18-14-1250-1236-90-1236-1250-14-18-70-16-50-14-30-10,1
Soixantecinq Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-1236.78.90,12",T,-30-14-50-16-70-18-14-1250-1236.78.90.78.1236-1250-14-18-70-16-50-14-30-12,1
Cinquantesix Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-1236.78.90,10",T,-30-14-50-16-70-18-14-1250-1236.78.90.78.1236-1250-14-18-70-16-50-14-30-10,1
Kinloss Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-123678-90,12",T,-30-14-50-16-70-18-14-1250-123678-90-123678-1250-14-18-70-16-50-14-30-12,1
Losskin Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-123678-90,10",T,-30-14-50-16-70-18-14-1250-123678-90-123678-1250-14-18-70-16-50-14-30-10,1
Thorley Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36-10,12",T,-30-14-50-16-70-18-14-1250-36-10-36-1250-14-18-70-16-50-14-30-12,1
Ardessie Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36-90,12",T,-30-14-50-16-70-18-14-1250-36-90-36-1250-14-18-70-16-50-14-30-12,1
Eissedra Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36-90,10",T,-30-14-50-16-70-18-14-1250-36-90-36-1250-14-18-70-16-50-14-30-10,1
Teotihuacan Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36.12.90,12",T,-30-14-50-16-70-18-14-1250-36.12.90.12.36-1250-14-18-70-16-50-14-30-12,1
Nacauhitoet Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36.12.90,10",T,-30-14-50-16-70-18-14-1250-36.12.90.12.36-1250-14-18-70-16-50-14-30-10,1
Zonzamas Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36.1278.90,12",T,-30-14-50-16-70-18-14-1250-36.1278.90.1278.36-1250-14-18-70-16-50-14-30-12,1
Samaznoz Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36.1278.90,10",T,-30-14-50-16-70-18-14-1250-36.1278.90.1278.36-1250-14-18-70-16-50-14-30-10,1
Ottantatre Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-36.78.90,12",T,-30-14-50-16-70-18-14-1250-36.78.90.78.36-1250-14-18-70-16-50-14-30-12,1
Lapwing Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-3678-90,12",T,-30-14-50-16-70-18-14-1250-3678-90-3678-1250-14-18-70-16-50-14-30-12,1
Winglap Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-3678-90,10",T,-30-14-50-16-70-18-14-1250-3678-90-3678-1250-14-18-70-16-50-14-30-10,1
Wibbetofte Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250-3678.12.90,12",T,-30-14-50-16-70-18-14-1250-3678.12.90.12.3678-1250-14-18-70-16-50-14-30-12,1
Jamboree Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.1236-90,12",T,-30-14-50-16-70-18-14-1250.78.1236-90-1236.78.1250-14-18-70-16-50-14-30-12,1
Jeerobma Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.1236-90,10",T,-30-14-50-16-70-18-14-1250.78.1236-90-1236.78.1250-14-18-70-16-50-14-30-10,1
Ronstim Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.1236.78.90,12",T,-30-14-50-16-70-18-14-1250.78.1236.78.90.78.1236.78.1250-14-18-70-16-50-14-30-12,1
Mitsnor Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.1236.78.90,10",T,-30-14-50-16-70-18-14-1250.78.1236.78.90.78.1236.78.1250-14-18-70-16-50-14-30-10,1
Irrawaddy Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.36-90,12",T,-30-14-50-16-70-18-14-1250.78.36-90-36.78.1250-14-18-70-16-50-14-30-12,1
Quire Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.36.12.90,12",T,-30-14-50-16-70-18-14-1250.78.36.12.90.12.36.78.1250-14-18-70-16-50-14-30-12,1
Ulestorp Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.36.1278.90,12",T,-30-14-50-16-70-18-14-1250.78.36.1278.90.1278.36.78.1250-14-18-70-16-50-14-30-12,1
Ross Surprise Royal,10,40,"-30-14-50-16-70-18-14-1250.78.36.78.90,12",T,-30-14-50-16-70-18-14-1250.78.36.78.90.78.36.78.1250-14-18-70-16-50-14-30-12,1
Vaudey Surprise Royal,10,40,"-30-14-50-16-70-18-14-30.14-14.30,12",T,-30-14-50-16-70-18-14-30.14-14.30.14-14.30-14-18-70-16-50-14-30-12,1
Oklahoma Surprise Royal,10,40,"-30-14-50-16-70-18-14-30.56-36.90,12",T,-30-14-50-16-70-18-14-30.56-36.90.36-56.30-14-18-70-16-50-14-30-12,1
Bishop's Stortford Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-1236-10,12",T,-30-14-50-16-70-18-14-50-1236-10-1236-50-14-18-70-16-50-14-30-12,1
Isleworth Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-1236-90,12",T,-30-14-50-16-70-18-14-50-1236-90-1236-50-14-18-70-16-50-14-30-12,1
Worthisle Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-1236-90,10",T,-30-14-50-16-70-18-14-50-1236-90-1236-50-14-18-70-16-50-14-30-10,1
Xantha Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-1236.78.90,12",T,-30-14-50-16-70-18-14-50-1236.78.90.78.1236-50-14-18-70-16-50-14-30-12,1
Atnax Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-1236.78.90,10",T,-30-14-50-16-70-18-14-50-1236.78.90.78.1236-50-14-18-70-16-50-14-30-10,1
Quinquaginta Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-123678-90,12",T,-30-14-50-16-70-18-14-50-123678-90-123678-50-14-18-70-16-50-14-30-12,1
Tean Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-123678-90,10",T,-30-14-50-16-70-18-14-50-123678-90-123678-50-14-18-70-16-50-14-30-10,1
Swindon Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36-90,12",T,-30-14-50-16-70-18-14-50-36-90-36-50-14-18-70-16-50-14-30-12,1
Donswin Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36-90,10",T,-30-14-50-16-70-18-14-50-36-90-36-50-14-18-70-16-50-14-30-10,1
Ibestoche Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36.12.90,12",T,-30-14-50-16-70-18-14-50-36.12.90.12.36-50-14-18-70-16-50-14-30-12,1
Echotsebi Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36.12.90,10",T,-30-14-50-16-70-18-14-50-36.12.90.12.36-50-14-18-70-16-50-14-30-10,1
Burton Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36.1278.90,12",T,-30-14-50-16-70-18-14-50-36.1278.90.1278.36-50-14-18-70-16-50-14-30-12,1
Notrub Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36.1278.90,10",T,-30-14-50-16-70-18-14-50-36.1278.90.1278.36-50-14-18-70-16-50-14-30-10,1
XXV Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-36.78.90,12",T,-30-14-50-16-70-18-14-50-36.78.90.78.36-50-14-18-70-16-50-14-30-12,1
Lubbesthorpe Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-3678-90,12",T,-30-14-50-16-70-18-14-50-3678-90-3678-50-14-18-70-16-50-14-30-12,1
Eprohtsebbul Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-3678-90,10",T,-30-14-50-16-70-18-14-50-3678-90-3678-50-14-18-70-16-50-14-30-10,1
Lobenho Surprise Royal,10,40,"-30-14-50-16-70-18-14-50-3678.12.90,12",T,-30-14-50-16-70-18-14-50-3678.12.90.12.3678-50-14-18-70-16-50-14-30-12,1
Cowesby Surprise Royal,10,40,"-30-14-50-16-70-18-14-50.12.36-10,12",T,-30-14-50-16-70-18-14-50.12.36-10-36.12.50-14-18-70-16-50-14-30-12,1
Kilworth Surprise Royal,10,40,"-30-14-50-16-70-18-14-50.12.36-90,12",T,-30-14-50-16-70-18-14-50.12.36-90-36.12.50-14-18-70-16-50-14-30-12,1
Worthkil Surprise Royal,10,40,"-30-14-50-16-70-18-14-50.12.36-90,10",T,-30-14-50-16-70-18-14-50.12.36-90-36.12.50-14-18-70-16-50-14-30-10,1
Burley Surprise Royal,10,40,"-30-14-50-16-70-18-14-50.12.36.12.90,12",T,-30-14-50-16-70-18-14-50.12.36.12.90.12.36.12.50-14-18-70-16-50-14-30-12,1
